year,country_code,terror_count,armed,arms_import,exports,foreign_in_invesment,gdp_growth,gdp_per_capita,gross_expenditure,public_health_expenditure,total_health_expenditure,imports,life_expectancy
2012,KEN,80,29100,61000000,19.81682883,0.324161235,4.554942796,1184.923256,58268322576,13.35301606,5.49053237,17847854479,60.27278049
2012,LAO,1,129100,19000000,38.85339188,3.146292306,8.026283279,1445.416201,10551304953,3.44296158,2.11887109,4830274612,65.2485122
2012,LBN,15,80000,31000000,56.48890897,7.310703576,2.2,8773.931956,52092625085,10.72474485,6.9909271,33293616498,78.90846341
2012,LBR,1,2050,215165420.2,43.3880726,37.25727456,7.99445127,414.1851554,2930500000,11.57961378,10.18650065,1948000000,60.20436585
2012,LBY,58,7000,73000000,54.82944514,4.803079307,-62.07591958,5517.779569,31216304525,7.9391271,4.29879351,32541808671,71.64956098
2012,MKD,1,8000,1000000,45.37446727,3.467445259,-0.456184412,4709.511628,11837177884,13.30669833,6.76264338,6513782541,75.03126829
2012,MDG,1,21600,215165420.2,29.00995501,8.170575686,3.027508088,444.9584938,11403463017,13.51079454,3.45623205,4361406682,64.24665854
2012,MYS,2,133600,47000000,79.29989261,2.829059379,5.474385463,10834.65908,2.80615E+11,5.70728098,4.01140506,2.15525E+11,74.42331707
2012,MLI,12,7800,9000000,27.85634001,3.197567293,-0.836178866,772.2499217,12866786112,12.41679295,6.46533952,3890132375,57.095
2012,MEX,16,329750,259000000,32.64495601,1.773516145,4.018173869,9720.561674,1.19987E+12,11.46749923,6.21482997,4.00635E+11,76.35409756
2012,MDA,1,7750,215165420.2,43.48291631,3.879096198,-0.700000153,2046.536787,10231992420,13.76541115,11.87332928,6114900012,70.7724878
2012,MOZ,1,11200,10500000,32.37613301,36.91446508,7.198185826,593.2193071,22299129482,8.8123221,5.57950644,11976163793,54.21212195
2012,MMR,17,513250,398000000,11.49836108,2.23310075,7.332670447,1136.786368,59365504045,3.28063395,2.21823163,6502481977,65.42778049
2012,NPL,46,157750,7333333.333,10.07389298,0.478983556,4.781192258,698.4098897,23722191553,11.81849299,5.8926379,6450415421,68.82331707
2012,NER,1,10700,8333333.333,21.85891404,12.25863127,11.81366328,393.643423,8157283780,7.5986349,6.10930646,2732565813,60.07253659
2012,NGA,591,162000,7000000,31.43874755,1.546823791,4.279277314,2716.715928,3.72517E+11,7.43004153,3.2990842,59150091916,52.105
2012,PAK,1625,947800,1052000000,12.39666276,0.382826517,3.50703342,1264.900909,2.42362E+11,4.72960635,2.75972728,45794092923,65.71687805
2012,PRY,4,25450,7000000,49.92148468,3.030657918,-1.238968506,3855.572185,24296592422,11.46093629,10.33407449,11979621541,72.654
2012,PER,6,192000,10000000,27.44961437,6.187728883,6.139724706,6386.374449,1.88215E+11,13.87253141,5.17591754,48479266166,74.05765854
2012,PHL,243,165500,16000000,30.81904716,1.285692446,6.683810237,2604.655997,2.58248E+11,8.24017013,4.45815444,85232376956,68.00707317
2012,RUS,150,1364000,103000000,27.38033591,2.33106968,3.517941865,15154.45687,2.023E+12,10.17920405,6.87955814,4.47048E+11,70.07219512
2012,RWA,6,35000,5000000,12.87485908,2.213607958,8.788351534,667.4145823,8548008929,10.436219,7.67761838,2257872479,62.79936585
2012,SAU,6,249000,1025000000,54.42013942,1.659823989,5.38446595,24883.18971,5.49742E+11,7.74907372,3.86342862,2.15206E+11,74.01602439
2012,SEN,11,18600,12000000,27.95058619,1.945701742,4.411180283,1030.04451,17178967144,7.47616648,4.31118548,6952183577,65.31887805
2012,SRB,3,28150,215165420.2,36.92831816,3.132125983,-1.015270388,5659.380204,47533372057,13.11907456,9.89106186,21836509486,74.83658537
2012,SOM,266,20000,2000000,14.51882427,8.242563606,2.698211474,535.8003865,8308000000,11.43366583,6.742246179,3485666667,54.6902439
2012,ZAF,4,62100,132000000,29.72280015,1.16718037,2.213258978,7548.43975,4.02097E+11,14.44375656,8.79451471,1.23558E+11,56.09831707
2012,SSD,4,210000,2000000,10.12161632,1.552733098,-46.08212237,944.2828116,14012203390,4,2.7738404,4692881356,54.727
2012,ESP,1,215600,238000000,30.70166327,1.864982892,-2.929811429,28562.29324,1.31632E+12,14.0886363,9.38884953,3.90534E+11,82.42682927
2012,LKA,4,223100,15333333.33,19.81648474,1.375209842,9.144579388,3350.521375,76550115436,6.19125034,3.20966147,21677008606,74.5312439
2012,SDN,34,264300,95000000,9.219191684,3.392938459,0.521559267,1806.450797,72405703918,11.64949118,8.20038881,10560705290,62.83219512
2012,SWE,2,16100,206000000,46.3231383,0.785748042,-0.286320615,57134.07707,5.1706E+11,19.16155869,11.80240408,2.25122E+11,81.70487805
2012,SYR,173,178000,371000000,39.14798129,4.803079307,2.698211474,13896.0611,5.7866E+11,4.79576059,3.2546046,1.56643E+11,70.78590244
2012,TJK,5,16300,3000000,21.5400245,3.135673899,7.499999169,962.4408177,11262177259,7.48547553,6.39187459,5273288262,69.16697561
2012,THA,279,453550,285000000,69.30323088,3.246750212,7.230959189,5915.221147,3.93949E+11,13.66849167,4.169548908,2.71993E+11,74.07190244
2012,TUN,1,47800,24500000,49.39598746,3.450543963,3.997666199,4139.53811,49193994494,14.16313675,7.17870481,26399833536,74.66221951
2012,TUR,177,612800,1503000000,26.29611119,1.683942724,2.127460709,10539.36545,8.29589E+11,10.76843789,5.2363833,2.48166E+11,74.63680488
2012,UGA,4,46800,219000000,19.89502016,5.127961081,3.834286742,664.0051546,26491409378,14.33571504,7.58352882,7661777289,57.10019512
2012,UKR,8,214850,9500000,35.41546087,4.650663252,0.238681306,3855.42128,2.1262E+11,11.76675505,7.46947303,99091978476,70.94414634
2012,GBR,51,169150,578000000,29.79867992,1.766845925,1.313018598,41538.30726,2.70498E+12,16.21255508,9.41083326,8.47449E+11,80.90487805
2012,USA,17,1492200,1196000000,13.6066085,1.50422262,2.224030854,51433.04709,1.67209E+13,20.07766335,17.01736133,2.76384E+12,78.74146341
2012,VEN,1,115000,680000000,26.17101425,1.307678984,5.625956975,12771.59504,3.73895E+11,5.90592072,4.80160508,92395390157,73.92573171
2012,YEM,306,137900,38000000,24.86371401,-0.040222174,2.392990209,1422.723779,39520005560,3.93250762,5.73349373,12920753594,63.32729268
2013,AFG,1415,330650,235000000,6.307895041,0.197860045,1.959122893,653.3474881,28756442476,10.591285,8.13486556,9974609899,60.02826829
2013,ALB,1,8500,7000000,35.44905893,9.80972069,1.109999993,4412.345578,15085640093,9.76242119,5.65513948,6835365179,77.64046341
2013,DZA,21,317200,302000000,33.21501693,0.806725693,2.767638866,5492.115804,2.03831E+11,9.94780509,7.12438268,63767462894,74.56895122
2013,ARG,2,105650,12000000,14.61717339,1.779205536,2.405323787,12977.13092,5.52575E+11,7.72304601,4.98687258,81240190817,75.98609756
2013,ARM,1,49100,16000000,28.3591265,3.111931481,3.300000002,3716.828923,13327735784,7.27372925,4.55022679,5360220562,74.56136585
2013,AUS,1,56750,244000000,19.82939983,3.452620993,2.440049062,67652.68321,1.58319E+12,17.31142544,9.36373848,3.29365E+11,82.14878049
2013,AUT,1,22500,6000000,53.1923388,0.105387999,0.124223545,50504.71532,4.17192E+11,16.33091808,11.1377909,2.16739E+11,81.13658537
2013,BHS,1,1300,26000000,43.75170375,4.48547421,0.010307048,22554.45412,9587442600,13.44797791,7.04554853,4793964200,75.07353659
2013,BHR,52,19460,72000000,74.45792054,3.038865272,5.41683981,24113.52484,23528005319,10.57740809,4.68637938,15216755319,76.54595122
2013,BGD,139,220950,662000000,19.53787411,1.73541854,6.013596067,954.3963997,1.60821E+11,5.54641825,2.88285726,40135237754,71.2452439
2013,BLZ,1,1050,215165420.2,65.185742,5.673891986,1.313559322,4723.594355,1655312751,13.41928526,5.79061965,1089292758,69.98204878
2013,BIH,1,10500,215165420.2,33.62137539,1.72573537,2.394191979,4748.040692,21894746453,14.10585357,9.46431161,9844178264,76.27692683
2013,BRA,3,713480,223000000,11.63020088,2.79768802,3.004865359,12106.21004,2.52972E+12,7.05216777,8.48312451,3.44504E+11,74.12243902
2013,BGR,3,47300,12333333.33,64.65252951,3.567225222,0.862092738,7674.860559,55987234663,10.95201537,7.93021922,36277928882,74.86097561
2013,BFA,1,11450,8000000,26.19375313,4.109249913,5.708753995,698.3350349,13714554836,12.72407194,5.91240213,4908921489,58.24063415
2013,BDI,2,51050,3000000,7.395821132,4.300125041,4.594054218,259.3652082,3443337674,14.01828211,8.03161378,929592021.3,56.25160976
2013,KHM,2,191300,67000000,61.49292402,8.705996295,7.480003653,1024.60887,16252239229,6.81614184,5.93281822,10303038305,67.77204878
2013,CMR,3,23200,133000000,20.65738013,1.850846649,5.561688129,1331.200021,32007418428,4.62177535,4.29309731,8547785604,55.04180488
2013,CAN,4,65700,194000000,30.16333848,3.638694101,2.475001859,52413.72116,1.87297E+12,18.57342332,10.66516682,5.86141E+11,81.76504878
2013,CAF,19,8150,7000000,14.45148971,0.12200942,-36.69995244,322.3665933,1678826190,15.51645354,3.82208893,379716267.5,49.87987805
2013,CHL,4,106100,54000000,32.29558173,6.988072414,3.976596199,15764.75545,2.79237E+11,15.31763039,7.5312947,91642329744,81.19792683
2013,CHN,10,2993000,1390000000,24.50498208,3.028225676,7.757635146,7077.770594,9.37235E+12,10.28492085,5.38570406,2.11938E+12,75.58514634
2013,COL,144,455750,164000000,17.571925,4.263288797,4.874065579,8030.690861,3.89902E+11,18.14280077,6.8432,76517618155,73.80973171
2013,HRV,2,19550,27000000,43.02970726,1.622460456,-1.063921096,13574.97804,57503341888,13.99284874,7.82827445,24591099741,77.12682927
2013,CYP,9,12750,23500000,58.72051308,-25.04749566,-5.95274791,27907.96736,23615772703,7.58416196,7.45866684,13686006373,79.94978049
2013,CZE,1,24100,15000000,76.87095181,3.513606851,-0.483671041,19916.01939,1.97333E+11,14.90725275,7.48649513,1.489E+11,78.17560976
