year,country_code,arms_import,gdp_growth,life_expectancy
2011,AFG,660000000.0,6.11368516942299,59.327951219512215
2011,ARE,1210000000.0,5.2077989108447005,76.85119512195119
2011,ARG,15000000.0,6.0039516892702816,75.64904878048779
2011,ARM,5000000.0,4.69999999861844,74.3428292682927
2011,AUS,1567000000.0,2.37956133560841,81.89512195121951
2011,AUT,8000000.0,2.8079999321176703,80.9829268292683
2011,AZE,557000000.0,0.0659227678492726,70.5518048780488
2011,BEL,21000000.0,1.79662997362374,80.5853658536585
2011,BFA,15000000.0,6.62687440408864,57.492048780487785
2011,BGD,137000000.0,6.464383880475169,70.4719512195122
2011,BGR,29000000.0,1.91501801059782,74.16341463414629
2011,BHR,1000000.0,1.98340952814382,76.2678536585366
2011,BLR,75000000.0,5.5437114609955085,70.5536585365854
2011,BOL,25000000.0,5.201620327748119,66.9425609756098
2011,BRA,312000000.0,3.97442540629392,73.55234146341459
2011,CAF,7000000.0,3.30071915650572,48.3504390243903
2011,CAN,344000000.0,3.1412190013904,81.44878048780491
2011,CHE,32000000.0,1.80455391510743,82.6951219512195
2011,CHL,326000000.0,5.839640583460048,80.5869756097561
2011,CHN,1128000000.0,9.53644300805558,75.2021707317073
2011,COL,145000000.0,6.589511515571151,73.4548048780488
2011,CYP,41000000.0,0.321196000023491,79.571512195122
2011,CZE,71000000.0,2.0047040064993102,77.87317073170729
2011,DEU,84000000.0,3.66000015503516,80.4365853658537
2011,DOM,12000000.0,3.10191731092932,72.94529268292679
2011,DZA,1126000000.0,2.89186599538829,74.07
2011,ECU,68000000.0,7.868140919109958,75.2264390243903
2011,EGY,630000000.0,1.81664664403142,70.5333170731707
2011,ESP,181000000.0,-1.0000804875138,82.4756097560976
2011,EST,1000000.0,7.59730724566185,76.2292682926829
2011,ETH,76000000.0,11.1782962356071,62.0830243902439
2011,FIN,58000000.0,2.5708177445216296,80.4707317073171
2011,FRA,33000000.0,2.07922917455807,82.1146341463415
2011,GBR,360000000.0,1.50906178236485,80.9512195121951
2011,GEO,2000000.0,7.22152309304624,74.18204878048779
2011,GHA,76000000.0,14.046002632334304,60.808
2011,GIN,1000000.0,3.90876144969185,57.000536585365886
2011,GRC,80000000.0,-9.13249415322949,80.7317073170732
2011,HRV,17000000.0,-0.281262662136228,76.7756097560976
2011,HUN,9000000.0,1.7394233438800202,74.85853658536591
2011,IDN,250000000.0,6.16978420771008,68.33439024390239
2011,IND,3666000000.0,6.6383637999583,66.9041707317073
2011,IRL,2000000.0,-0.0405653206590415,80.7463414634146
2011,IRN,100000000.0,3.74969048564738,74.4125853658537
2011,IRQ,574000000.0,7.5464712004260015,68.7097073170732
2011,ISL,50000000.0,1.98713075351186,82.35853658536591
2011,ISR,85000000.0,5.06217885129591,81.6560975609756
2011,ITA,298000000.0,0.5766246604179489,82.1878048780488
2011,JOR,215000000.0,2.56080879892622,73.59185365853659
2011,JPN,306000000.0,-0.115461941256385,82.5912195121951
2011,KAZ,62000000.0,7.400000000000468,68.98
2011,KEN,14000000.0,6.11161346041284,59.5342195121951
2011,KOR,1574000000.0,3.68169647232138,80.96707317073171
2011,KWT,113000000.0,9.62843608199742,74.233512195122
2011,LAO,14000000.0,8.03865268078816,64.7981219512195
2011,LBN,1000000.0,1.9825479930192,78.68985365853659
2011,LBY,8000000.0,-62.075919584900106,71.68326829268291
2011,LKA,21000000.0,8.404738131128699,74.4245609756098
2011,MAR,1403000000.0,5.24569729729485,72.9854390243902
2011,MEX,229000000.0,4.044613878885951,76.18565853658541
2011,MLT,8000000.0,1.82286536858854,80.7463414634146
2011,MMR,667000000.0,5.5914823781961,65.18090243902441
2011,MYS,5000000.0,5.29379110190229,74.286756097561
2011,NGA,68000000.0,4.88738661141308,51.7378048780488
2011,NLD,149000000.0,1.6636263443925,81.2048780487805
2011,NPL,3000000.0,3.4218282408747203,68.40663414634149
2011,NZL,28000000.0,2.47520478788772,80.9048780487805
2011,PAK,1088000000.0,2.74840254954,65.447
2011,PER,63000000.0,6.3271924016111685,73.84497560975609
2011,PHL,63000000.0,3.6597551388787504,67.89065853658539
2011,PRY,8000000.0,4.34240708615224,72.4871951219512
2011,QAT,198000000.0,13.3751764144462,78.0278048780488
2011,RUS,11000000.0,4.2641765649052115,69.68390243902441
2011,SAU,1222000000.0,9.95893280986544,73.8548536585366
2011,SDN,173000000.0,-1.96772897878996,62.4555365853659
2011,SEN,20000000.0,1.76111804930498,64.6953658536585
2011,SSD,61000000.0,-4.6403167360085895,54.205
2011,SWE,191000000.0,2.66440795069538,81.8024390243903
2011,TCD,1000000.0,0.0828697984381677,50.33195121951221
2011,THA,267000000.0,0.833682448113152,73.89239024390241
2011,TKM,237000000.0,14.6999999278723,65.16560975609761
2011,TTO,12000000.0,-0.294354430186701,69.9803170731707
2011,TUN,7000000.0,-1.91717771660325,74.62621951219509
2011,TUR,770000000.0,8.772746296252,74.36734146341459
2011,TZA,78000000.0,7.90450757234741,62.6320975609756
2011,UGA,471000000.0,9.3940910215985,56.463756097560996
2011,USA,995000000.0,1.6014546724713898,78.64146341463409
2011,VEN,594000000.0,4.17642535923927,73.7916585365854
2011,YEM,45000000.0,-12.714896895411696,63.0535365853659
2011,ZAF,212000000.0,3.28419713479731,55.2956585365854
