year,country_code,"Central government debt, total (% of GDP)",Expense (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),Imports of goods and services (annual % growth),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Research and development expenditure (% of GDP),Trade (% of GDP)
2012,AFG,,41.0323120371052,0.299592101692759,20536542736.7297,14.4347412879524,690.842629014956,10.9022578837831,,8.3047608561584,1.1447151131951,,44.659247762082
2012,ALB,,,7.46831755609706,12319784787.2987,1.41999999814648,4247.83985201907,1.57851644863899,-6.58135038394953,1.03996061572434,1.48708257653319,,85.3385104513109
2012,ARE,,4.26158857805326,2.3641178706055,373431994554.118,6.79262162822587,41712.3979484395,4.1943016378745,5.15666778405685,0.330968460539282,5.09439424133513,,175.959528345981
2012,ARG,,,2.79157724687076,548934618735.756,-1.05287445030977,13040.306395228,-2.08619708968207,-4.72826320336759,22.3090102454593,0.780600598500981,0.609390020370483,30.3622409032088
2012,ARM,,21.3736421560682,4.67672787765567,10619320048.5857,7.20000000328227,3565.5175749254,6.82729024793407,-2.80000000067427,5.34580441586994,3.58376691873744,0.238529995083809,75.9667433930304
2012,AUS,40.4096305062822,26.2582777459582,3.74317116524714,1537477830480.51,3.63272030319823,67646.1038529626,1.86253016878182,11.6266505235133,2.05591428035885,1.69813674427214,,42.6955975871972
2012,AUT,85.3668438294817,45.9636059831048,1.28104304759576,407451583084.239,0.745756100086155,48333.572726737,0.287464002867296,1.09345767330676,1.98919785277036,0.782235046652819,2.88561010360718,105.000006937503
2012,AZE,,22.4930086119085,7.70141161218631,68730906313.6456,2.20000018843571,7393.77187697623,0.850986009199033,2.19999966079118,1.4413442651971,4.72321511251042,0.217240005731583,79.3484581905732
2012,BDI,,,0.0244670500056161,2472384906.99794,4.01936552951105,244.19648623151,0.583540267984489,4.56511013727257,15.4165011550702,2.38501869074756,,46.4189800438818
2012,BEL,8.10841081073269,45.8021043091344,1.34234394184714,497884216568.867,0.137127795952139,44740.5832481477,-0.587266602035612,1.40479628564788,2.07412995040701,1.03819328046625,2.36268997192383,163.994977033554
2012,BFA,,14.5365284952734,2.94896576478957,11166654260.5289,6.45267475434646,673.06251119393,3.34739899845293,24.2933402295106,5.82399947692424,1.32300642548991,,62.6790761707104
2012,BGD,,9.40257015132424,1.1881028498084,133355749482.478,6.52143507837333,858.933362587621,5.25094010062226,10.5185591685069,8.16459774560592,0.00141461266724646,,48.1109227476789
2012,BGR,17.0979644921078,30.5007024038605,3.31703070861092,53903028252.2996,0.0309436075978766,7378.02553944156,0.612024681754278,5.54924438468677,1.55532399363496,1.49816415469114,0.608479976654053,124.776324554891
2012,BHR,,,2.89835267009983,30749308510.6383,3.72810843046017,23057.7675759542,1.58420683897442,2.34386727377999,3.01476585183988,3.84457702733326,,122.190085575355
2012,BHS,,,6.2646631498324,8399031000.0,3.08665677915651,22554.5157201628,1.51511593859432,9.67132157114987,3.26745806117748,,,103.710825689297
2012,BIH,49.1458416935329,39.0768610572535,2.27795996981763,17207367625.8048,-0.933187591316027,4494.64064038047,-0.832501389758107,0.645159747865293,0.878149888652004,1.14686889330015,0.270370006561279,88.0755566695065
2012,BLR,25.224401368516,28.5214351505735,2.30069912575244,63615445566.8483,1.7313912233863,6721.83490773968,1.82813493862413,10.900101662082,75.4385806262073,1.28438943312552,0.667050004005432,158.067654620344
2012,BLZ,74.4711439434734,22.4807386687461,12.3391219756969,1573867323.54972,3.74040920716112,4674.29344667534,1.42532388139536,4.48716297332557,1.89579136213662,0.966989070315955,,129.113187352234
2012,BOL,,,3.91354758665219,27084515195.369,5.12237099267816,2645.29199871713,3.47425538248733,4.28376767160621,7.09996672292566,1.8455934684805,,84.948758776195
2012,BRA,59.9596768422512,28.6204797222525,3.51964748775472,2460658440428.04,1.91545862251942,12157.3082176473,0.966806342975872,0.725448294862446,7.8179154478924,1.38119466190808,1.15113997459412,24.8108787676512
2012,BTN,72.5156742224457,20.4358757554924,1.33688540104042,1823692109.61652,5.07170981496216,2452.15158793741,3.45193122754239,-7.12562843276859,9.18073918721305,,,101.763927226458
2012,CAF,,9.40636812440307,3.2064681857572,2184183758.31567,4.11279786850471,472.818218057294,2.11602731914746,,2.5799758050627,,,33.2096656308712
2012,CAN,54.7753795243383,17.5597759061843,2.70668835540713,1824288757447.57,1.74547228318005,52495.2884719937,0.548890948325493,3.59401036907079,1.2212523760043,1.12109997322812,1.78606998920441,62.3971367253161
2012,CHE,,16.3417615364849,3.95270985488914,665054050620.785,1.04810263610355,83164.3879543217,-0.0191693713695145,-2.55453640949706,-0.191192437927029,0.690494707789343,2.96661996841431,124.243368210568
2012,CHL,,20.4086438589065,10.7291299914932,265231582123.55,5.45713060960065,15253.3308268909,4.32221527677139,4.77722208632277,0.85003056233262,2.06467529392943,0.364789992570877,68.8127223754656
2012,CHN,,,2.81773900497205,8560546868811.69,7.8562621102694,6337.8829926902,7.33203098425359,,2.39247173876255,1.83921096459762,1.92809998989105,48.1078613378601
2012,CIV,,15.2002109389827,1.22140362451556,27040562587.1771,10.7065041030832,1281.38286516731,8.0914873194607,34.7947386742675,4.1174030072391,1.50735197528083,,92.8080889884346
2012,CMR,,,1.99226724396522,26472056037.7696,4.58873870051141,1222.19214220436,1.97915901262837,1.24666283084626,2.99789436911742,1.33894924209206,,45.4027769165757
2012,COG,,15.5477245868439,15.7325999167314,13677930123.5919,3.79999585362292,3191.16429881094,1.16628941119224,-7.00000000034893,-1.16996160152682,,,144.104413019189
