year,country_code,terror_count,arms_import,gdp_growth,life_expectancy
2013,DOM,1,6500000,4.742064192,73.31990244
2013,ECU,2,11000000,4.946511267,75.6485122
2013,EGY,307,675000000,2.106724617,70.92578049
2013,ETH,5,153000000,10.58227004,63.44219512
2013,FRA,12,107000000,0.576241547,82.2195122
2013,GEO,2,5000000,3.387043726,74.51390244
2013,GRC,53,52000000,-3.241425025,81.28536585
2013,GTM,6,17500000,3.697585578,71.48639024
2013,GIN,2,3333333.333,2.299999238,58.2164878
2013,HND,2,20000000,2.791559757,72.94285366
2013,IND,678,5170000000,6.540301949,67.66041463
2013,IDN,32,802000000,5.557263689,68.70460976
2013,IRN,11,31000000,-1.911575057,75.12597561
2013,IRQ,2809,353000000,6.572160298,69.1834878
2013,IRL,26,21500000,1.098839764,81
2013,ISR,37,153000000,4.376328279,82.05609756
2013,ITA,7,91000000,-1.728157335,82.6902439
2013,CIV,4,6000000,8.889421302,51.20846341
2013,JOR,1,75000000,2.829210769,73.9
2013,KAZ,4,141000000,6,70.45
2013,KEN,78,1000000,5.693530352,60.95378049
2013,LBN,117,24000000,0.9,79.13370732
2013,LBY,285,120000000,-62.07591958,71.65768293
2013,MDG,2,215165420.2,2.255204043,64.67390244
2013,MYS,13,71000000,4.692919186,74.5675122
2013,MDV,3,5000000,4.699793673,76.60260976
2013,MLI,57,6000000,2.303584809,57.53519512
2013,MEX,8,63000000,1.360077144,76.53265854
2013,MNE,2,215165420.2,3.5490131,75.97019512
2013,MOZ,18,9000000,7.1416833,54.6415122
2013,MMR,17,251000000,8.426001025,65.65409756
2013,NPL,101,7333333.333,4.128877676,69.222
2013,NER,4,13000000,5.268378734,60.82814634
2013,NGA,318,35000000,5.394416311,52.44214634
2013,PAK,2157,1162000000,4.396456633,65.96368293
2013,PRY,10,7500000,14.03627767,72.79917073
2013,PER,10,49000000,5.852518211,74.28385366
2013,PHL,626,78000000,7.064032939,68.13156098
2013,COG,1,12000000,3.440705249,61.66639024
2013,RUS,143,141000000,1.279453911,70.57878049
2013,RWA,4,15000000,4.684512428,63.39482927
2013,SAU,6,1607000000,2.669911395,74.17763415
2013,SEN,3,6000000,3.485217347,65.8787561
2013,SOM,270,3000000,2.698211474,55.02302439
2013,ZAF,12,2000000,2.330342259,56.73658537
2013,SSD,12,9000000,13.12973114,55.22090244
2013,ESP,5,176000000,-1.705894868,83.07804878
2013,LKA,14,20000000,3.395709596,74.65382927
2013,SDN,44,130000000,4.394711132,63.16704878
2013,CHE,2,6000000,1.78057952,82.79756098
