year,country_code,event_count
2015,TTO,1
2015,TUN,17
2015,TUR,409
2015,UGA,9
2015,UKR,609
2015,GBR,115
2015,USA,38
2015,UZB,1
2015,VEN,3
2015,YEM,570
