year,country_code,event_count,gdp_growth
2012,AFG,1446,14.434741287952399
2012,DZA,41,3.39999999999992
2012,ARG,2,-1.05287445030977
2012,BHR,26,3.72810843046017
2012,BGD,18,6.5214350783733295
2012,BLR,3,1.7313912233862998
2012,BEL,1,0.137127795952139
2012,BOL,1,5.12237099267816
2012,BRA,1,1.91545862251942
2012,BGR,2,0.0309436075978766
2012,BDI,4,4.01936552951105
2012,CAN,2,1.74547228318005
2012,CAF,3,4.11279786850471
2012,CHL,2,5.45713060960065
2012,CHN,4,7.8562621102694
2012,COL,115,4.0439438063715
2012,CYP,1,-3.15777767372168
2012,ECU,1,5.641962066712001
2012,EGY,48,2.19387835367519
2012,ETH,3,8.647811635390969
2012,FRA,65,0.18269303354747998
2012,GEO,3,6.350481944474501
2012,DEU,5,0.49199282913805603
2012,GRC,22,-7.3004939353207305
2012,GTM,1,2.96985742688504
2012,GNB,1,-1.79798850906946
2012,ISL,1,1.18293161147011
2012,IND,591,5.61856277332065
2012,IDN,39,6.0300506530561195
2012,IRN,5,-6.60868725474589
2012,IRQ,1423,13.9364301737537
2012,IRL,29,-1.1028803800650702
2012,ISR,66,2.3818002624543197
2012,ITA,10,-2.81901912719412
2012,CIV,15,10.7065041030832
2012,JOR,2,2.65120334919015
2012,KAZ,4,4.799999999999709
2012,KEN,80,4.55494279644424
2012,LAO,1,8.02628327936989
2012,LBN,15,2.2
2012,LBR,1,7.99445127045679
2012,MKD,1,-0.45618441209266797
2012,MDG,1,3.0275080876082097
2012,MYS,2,5.47438546268495
2012,MLI,12,-0.836178865643376
2012,MEX,16,4.01817386885878
2012,MDA,1,-0.7000001531169889
2012,MOZ,1,7.1981858257921205
2012,MMR,17,7.33267044715451
2012,NPL,46,4.78119225754814
2012,NER,1,11.8136632751199
2012,NGA,591,4.279277313893299
2012,PAK,1625,3.5070334200968905
2012,PRY,4,-1.23896850575009
2012,PER,6,6.139724705604349
2012,PHL,243,6.68381023689122
2012,RUS,150,3.5179418654945898
2012,RWA,6,8.788351534061361
2012,SAU,6,5.3844659496954
2012,SEN,11,4.411180283487769
2012,SRB,3,-1.01527038761317
2012,ZAF,4,2.21325897786599
2012,SSD,4,-46.0821223743007
2012,ESP,1,-2.62030851235816
2012,LKA,4,9.14457938763533
2012,SDN,34,0.521559266641702
2012,SWE,2,-0.286320615444041
2012,TJK,5,7.49999916892124
2012,THA,279,7.2309591892917195
2012,TUN,1,3.99766619874057
2012,TUR,177,2.12746070917433
2012,UGA,4,3.8342867424331804
2012,UKR,8,0.23868130555248998
2012,GBR,51,1.3130185984248501
2012,USA,17,2.22403085385714
2012,VEN,1,5.62595697508641
2012,YEM,306,2.3929902093532003
2013,AFG,1415,1.9591228927533701
2013,ALB,1,1.10999999256572
2013,DZA,21,2.80000000000014
2013,ARG,2,2.30248415836283
2013,ARM,1,3.3000000017998397
2013,AUS,1,2.4400490620624598
2013,AUT,1,0.12422354549362101
2013,BHS,1,0.010307047704373
2013,BHR,52,5.4168398101207105
2013,BGD,139,6.013596067470231
2013,BLZ,1,1.3135593220339
2013,BIH,1,2.3941919792446003
2013,BRA,3,3.0151405108109395
2013,BGR,3,0.86209273761466
2013,BFA,1,5.70875399548719
2013,BDI,2,4.59405421822632
2013,KHM,2,7.48000365272792
2013,CMR,3,5.56168812850224
2013,CAN,4,2.21806818754125
2013,CAF,19,-36.6999524381893
2013,CHL,4,3.97659619929694
2013,CHN,10,7.757635146170321
2013,COL,144,4.87406557934081
2013,HRV,2,-1.06392109616958
2013,CYP,9,-5.95274791028267
2013,CZE,1,-0.4836710407026029
2013,DNK,1,-0.243779282941276
2013,DOM,1,4.74206419171963
2013,ECU,2,4.94651126690626
2013,EGY,307,2.10672461668477
2013,ETH,5,10.5822700402272
2013,FRA,12,0.576241546834495
2013,GEO,2,3.3870437257223798
2013,GRC,53,-3.2414250250659102
2013,GTM,6,3.6975855779095097
2013,GIN,2,2.29999923829239
2013,HND,2,2.7915597574680096
2013,IND,678,6.6388127357182
2013,IDN,32,5.557263688910131
2013,IRN,11,-1.91157505672037
2013,IRQ,2809,6.5721602980641105
2013,IRL,26,1.0988397638847098
2013,ISR,37,4.37632827940084
2013,ITA,7,-1.72815733491716
2013,CIV,4,8.889421301729241
2013,JOR,1,2.8292107690698303
2013,KAZ,4,6.0000000000001
2013,KEN,78,5.6935303523421705
2013,LBN,117,0.8999999999999909
2013,MDG,2,2.25520404326076
2013,MYS,13,4.692919186028679
2013,MDV,3,4.69979367321605
2013,MLI,57,2.30358480929436
2013,MEX,8,1.36007714397567
2013,MNE,2,3.54901309958009
2013,MOZ,18,7.14168329950449
2013,MMR,17,8.426001024851871
2013,NPL,101,4.12887767631092
2013,NER,4,5.26837873403858
2013,NGA,318,5.39441631089463
2013,PAK,2157,4.396456633497721
2013,PRY,10,14.036277673601699
2013,PER,10,5.85251821084928
2013,PHL,626,7.06403293901505
2013,COG,1,3.4407052491938
2013,RUS,143,1.2794539109574599
2013,RWA,4,4.68451242829828
2013,SAU,6,2.6699113946389397
2013,SEN,3,3.4852173466202903
2013,ZAF,12,2.33034225921693
2013,SSD,12,13.1297311406943
2013,ESP,5,-1.67197184815122
2013,LKA,14,3.39570959648638
2013,SDN,44,4.39471113218659
2013,CHE,2,1.78057951954574
2013,TZA,7,7.263060030369901
2013,THA,471,2.70211728969294
2013,TTO,3,2.6539184236130198
2013,TUN,29,2.9956570480749907
2013,TUR,38,4.19250934713969
2013,UKR,5,-0.0267296493157545
2013,ARE,1,4.72889729346413
2013,GBR,137,1.9110784106548402
2013,USA,19,1.6773315299245302
2013,YEM,389,4.82351906650533
2013,ZWE,3,4.48409514596702
2014,AFG,1767,1.3125309076464198
2014,ALB,2,1.79999999809164
2014,DZA,12,3.7999999999999
2014,AUS,8,2.4998512224341
2014,AZE,3,2.0
2014,BHR,40,4.35048360348598
2014,BGD,130,6.06109305375394
2014,BEL,2,1.6531350757174998
2014,BTN,0,5.745455167569769
2014,BIH,3,1.08187567036184
2014,BRA,3,0.103371359100009
2014,BGR,1,1.32884972234031
2014,BDI,5,4.66091818447367
2014,CMR,63,5.92696495921939
2014,CAN,3,2.47289263838321
2014,CAF,86,1.04001804711078
2014,TCD,1,6.89998504532167
2014,CHL,17,1.8763953971249399
