year,country_code,terror_count,debt,expense,inflows,gdp,gdp_growth,gdp_per_capita,gdp_per_capita_growth,imports,inflation,military_expenditure,research_expenditure,trade
2012,AFG,1446,,41.0323120371052,0.29959210169275896,20536542736.7297,14.434741287952399,690.8426290149561,10.902257883783099,,8.304760856158401,1.1447151131951,,44.659247762082
2012,DZA,41,,,0.71773316841545,209047389599.67,3.39999999999992,5583.61615950131,1.4051697105299499,13.900000084339599,7.452373539400001,4.46132676513988,,65.34691397552321
2012,ARG,2,,,2.7915772468707596,548934618735.75604,-1.05287445030977,13040.306395228,-2.08619708968207,-4.7282632033675895,22.309010245459298,0.7806005985009808,0.6093900203704828,30.3622409032088
2012,BHR,26,,,2.89835267009983,30749308510.6383,3.72810843046017,23057.7675759542,1.58420683897442,2.34386727377999,3.0147658518398797,3.84457702733326,,122.190085575355
2012,BGD,18,,9.40257015132424,1.1881028498084,133355749482.47801,6.5214350783733295,858.933362587621,5.25094010062226,10.5185591685069,8.164597745605919,0.00141461266724646,,48.1109227476789
2012,BLR,3,25.224401368516002,28.521435150573502,2.30069912575244,63615445566.8483,1.7313912233862998,6721.834907739681,1.82813493862413,10.900101662082,75.4385806262073,1.2843894331255201,0.667050004005432,158.067654620344
2012,BEL,1,8.10841081073269,45.8021043091344,1.34234394184714,497884216568.867,0.137127795952139,44740.5832481477,-0.5872666020356121,1.40479628564788,2.07412995040701,1.03819328046625,2.3626899719238303,163.994977033554
2012,BOL,1,,,3.9135475866521903,27084515195.369,5.12237099267816,2645.29199871713,3.4742553824873297,4.28376767160621,7.099966722925661,1.8455934684805,,84.948758776195
2012,BRA,1,59.959676842251206,28.620479722252497,3.5196474877547206,2460658440428.04,1.91545862251942,12157.3082176473,0.966806342975872,0.7254482948624459,7.8179154478924,1.38119466190808,1.15113997459412,24.8108787676512
2012,BGR,2,17.097964492107803,30.5007024038605,3.3170307086109196,53903028252.2996,0.0309436075978766,7378.025539441559,0.6120246817542779,5.549244384686769,1.55532399363496,1.4981641546911397,0.608479976654053,124.77632455489099
2012,BDI,4,,,0.0244670500056161,2472384906.99794,4.01936552951105,244.19648623151002,0.583540267984489,4.56511013727257,15.4165011550702,2.38501869074756,,46.418980043881795
2012,CAN,2,54.77537952433829,17.559775906184303,2.70668835540713,1824288757447.57,1.74547228318005,52495.2884719937,0.548890948325493,3.59401036907079,1.2212523760043001,1.1210999732281202,1.78606998920441,62.3971367253161
2012,CAF,3,,9.40636812440307,3.2064681857572,2184183758.31567,4.11279786850471,472.818218057294,2.11602731914746,,2.5799758050627,,,33.2096656308712
2012,CHL,2,,20.4086438589065,10.729129991493199,265231582123.55,5.45713060960065,15253.3308268909,4.32221527677139,4.7772220863227695,0.85003056233262,2.06467529392943,0.364789992570877,68.8127223754656
2012,CHN,4,,,2.8177390049720494,8560546868811.69,7.8562621102694,6337.8829926902,7.33203098425359,,2.39247173876255,1.83921096459762,1.9280999898910502,48.1078613378601
2012,COL,115,65.4503129801084,25.118421955919498,4.06843706851889,369659700375.52,4.0439438063715,7885.061292302141,2.99071705050034,9.07429035697965,2.98898695559318,3.1667770685294503,0.20692999660968803,38.296097795977396
2012,CYP,1,119.21765038269899,40.2640365747162,198.30544775022202,25012206090.1966,-3.15777767372168,28951.155559898598,-4.622161161640969,-4.4355898950264105,1.87860372286728,1.65716340473622,0.429250001907349,108.495916165819
2012,COD,23,,,,,,,,,,,,
2012,ECU,1,,,0.6449112785348989,87924544000.0,5.641962066712001,5702.168287893771,3.98251343516071,0.834861393950973,4.985253061241219,2.9454528646745097,,61.751112408385104
2012,EGY,48,,29.0029578655077,1.01236343414222,276353323880.224,2.19387835367519,3226.13137881998,-0.0409396046487984,10.6778442555455,18.2288988841076,1.66618374984909,0.541029989719391,41.1565857780997
2012,ETH,3,,,0.643172898229037,43310721414.0829,8.647811635390969,469.792303889824,5.89893082985817,22.2064107242975,33.541405015517604,0.868362090380475,,45.397904186183396
2012,FRA,65,88.9239643514465,48.577611888090104,1.22884522558597,2681416108537.39,0.18269303354747998,40838.024436834,-0.301002029280724,0.661866476951829,1.15764891531541,2.23893577596555,2.2290699481964102,59.2003848717422
2012,GEO,3,32.530698113925396,25.3809303514444,5.24567707111166,15846474595.773,6.350481944474501,4142.8691753655,7.74068432283363,15.5572873935659,1.07121279782194,3.1046060682171,,95.9488473459616
2012,DEU,5,55.159774640534295,28.422737522931104,1.84719447462816,3543983909148.01,0.49199282913805603,44065.2489082767,2.2061181587931,-0.0654085887921241,1.5402940792813102,1.3112614474342499,2.87167000770569,85.87475437413441
2012,GRC,22,165.477789379429,55.1254423393508,0.677055667877697,245670666639.047,-7.3004939353207305,22242.681934771,-6.797860844307821,-9.099416793155099,-0.37039202748511,2.4076913754334397,0.699570000171661,61.8177666440886
2012,GTM,1,24.311273592067103,12.9637204910218,2.5077953919544598,50388418158.5954,2.96985742688504,3278.6263457313203,0.829365336347124,2.79189191436981,3.32250786709392,0.44527422740847,0.044709999114275,60.9824745462521
2012,GNB,1,,,0.6654316011382839,995581992.41106,-1.79798850906946,580.6429368670961,-4.152552724116299,-18.379242533565396,-0.7800969942492059,2.4600429043676497,,39.8763616426401
2012,ISL,1,112.51208085461398,34.3575824041056,1.68194608334806,14194519025.2641,1.18293161147011,44258.8427932005,0.645966353725797,4.605229349412769,3.18879675604546,0.12289565134132001,,107.909253220238
2012,IND,591,50.6406957660857,16.1548022945997,1.31196709104953,1828985283085.0,5.61856277332065,1447.4519469251502,4.26917944927207,5.996182064138679,7.851683150686379,2.53547653435491,,55.7526181739149
